latitude,longitude,elevation
37.795170000000006,-122.39377,3.74
37.795280000000005,-122.39386,3.74
37.79534,-122.39378,3.33
37.79594500129333,-122.3943349954472,3.21
37.79655,-122.39489,3.12
37.796580000000006,-122.39495000000001,3.12
37.79724500468315,-122.39555748359751,3.3200000000000003
37.79791000624706,-122.39616497813226,3.22
37.798575004691585,-122.39677248360466,3.23
37.799240000000005,-122.39738000000001,3.37
37.799885006907566,-122.39795164170864,3.56
37.80053001105303,-122.39852329340071,3.49
37.80117501243627,-122.39909495507652,3.6500000000000004
37.80182001105718,-122.3996666267365,3.56
37.80246500691568,-122.40023830838098,3.6300000000000003
37.803110000000004,-122.40081,3.5500000000000003
37.80360500101429,-122.40127499697779,3.56
37.804100000000005,-122.40174,3.69
37.804480000000005,-122.40215,3.6600000000000006
37.804930000000006,-122.40273,3.73
37.80541333720676,-122.40340999104963,3.73
37.80589667050495,-122.40408999100006,3.68
37.806380000000004,-122.40477000000001,3.7
37.80667000136877,-122.40532499794858,3.69
37.806960000000004,-122.40588000000001,3.6600000000000006
37.80738,-122.40676,3.5700000000000003
37.807640000000006,-122.40757,3.8200000000000003
37.80792500194898,-122.408254997274,3.8200000000000003
37.80821,-122.40894000000002,3.8800000000000003
37.808220000000006,-122.409,4.07
37.80809,-122.40902000000001,4.3
37.80812,-122.40912000000002,4.34
37.80821500298417,-122.40995999893626,4.32
37.808310000000006,-122.41080000000001,4.260000000000001
37.80845500352924,-122.41171499814429,4.2700000000000005
37.808600000000006,-122.41263000000001,4.109999999999999
37.808580000000006,-122.41289,4.109999999999999
37.80844501555126,-122.41399750608316,4.140000000000001
37.80831002073421,-122.41510500811715,4.220000000000001
37.80817501554894,-122.4162125061017,4.140000000000001
37.808040000000005,-122.41732,4.17
37.807990000000004,-122.41747000000001,4.23
37.80785334301121,-122.41854000396098,4.17
37.807716676344455,-122.41961000396152,4.2
37.80758,-122.42068,4.17
37.80758,-122.42087000000001,4.180000000000001
37.807460000000006,-122.42184,4.03
37.807460000000006,-122.42214000000001,3.9000000000000004
37.80707500218452,-122.42284500352201,4.08
37.80669,-122.42355,4.34
37.806580000000004,-122.42396000000001,4.36
37.806560000000005,-122.42444,4.5200000000000005
37.80662,-122.42478000000001,4.5200000000000005
37.806850000000004,-122.42543,4.3500000000000005
37.80709,-122.42587,4.79
37.807100000000005,-122.42593000000001,4.79
37.80704,-122.42605,5.46
37.80722,-122.42623,5.49
37.807370000000006,-122.42632,5.12
37.807640000000006,-122.42643000000001,5.180000000000001
37.80762,-122.42651000000001,5.2700000000000005
37.80809,-122.42662000000001,4.87
37.80807,-122.42696000000001,4.930000000000001
37.80807,-122.42734000000002,5.74
37.808130000000006,-122.42807,13.240000000000002
37.808110000000006,-122.42833000000002,15.240000000000002
37.808060000000005,-122.42843,15.240000000000002
37.80772000073936,-122.4288350018098,19.470000000000002
37.80738,-122.42924000000001,23.840000000000003
37.80715,-122.42946,24.21
37.80682,-122.42960000000001,23.290000000000003
37.806520000000006,-122.42971000000001,22.080000000000002
37.806200000000004,-122.42996000000001,20.64
37.80604,-122.43004,20.009999999999998
37.8057,-122.43004,19.71
37.80559,-122.43008,19.22
37.805490000000006,-122.43021000000002,18.73
37.80532,-122.43075,16.650000000000002
37.80519,-122.43102,15.530000000000001
37.80512,-122.43109000000001,15.31
37.805,-122.43114000000001,14.92
37.80492,-122.43126000000001,13.770000000000001
37.80487,-122.43147,12.020000000000001
37.80489,-122.4316,9.55
37.804930000000006,-122.4317,9.55
37.80496,-122.43174,9.55
37.805080000000004,-122.43194000000001,8.100000000000001
37.805130000000005,-122.43194000000001,8.020000000000001
37.805240000000005,-122.43200000000002,7.7
37.80528,-122.43207000000001,7.540000000000001
37.8053,-122.43223,7.2700000000000005
37.80521500199583,-122.43291500068624,6.04
37.805130000000005,-122.43360000000001,5.5600000000000005
37.80518,-122.43390000000001,5.33
37.80561667060022,-122.43458332523133,4.3500000000000005
37.80605333725346,-122.43526665854353,3.87
37.806490000000004,-122.43595,3.87
37.80655,-122.43609000000001,3.86
37.80662,-122.43639,3.86
37.80662,-122.43665000000001,3.8100000000000005
37.80649334171555,-122.43764667019977,3.6100000000000003
37.80636667503437,-122.43864333698058,3.4800000000000004
37.80624,-122.43964000000001,3.5900000000000003
37.80612667371011,-122.44055333619966,3.5100000000000002
37.80601334036894,-122.44146666959607,3.39
37.8059,-122.44238000000001,3.4800000000000004
37.80579000245908,-122.44314500123933,3.37
37.80568,-122.44391000000002,3.2600000000000002
37.80557000938255,-122.44477000380472,3.41
37.80546001251328,-122.44563000504763,3.54
37.80535000939226,-122.4464900037286,3.68
37.805240000000005,-122.44735000000001,3.7800000000000002
37.80514,-122.44835,3.7900000000000005
37.805040000000005,-122.44872000000001,3.73
37.80489,-122.44951,3.8200000000000003
37.80475559259636,-122.45055668190966,3.75
37.80462117593229,-122.45160336000939,3.6400000000000006
37.80448675000789,-122.45265003429896,3.5
37.80435231482321,-122.45369670477814,3.41
37.804217870378345,-122.45474337144672,3.34
37.80408341667341,-122.45579003430446,3.4800000000000004
37.80394895370841,-122.45683669335112,3.5500000000000003
37.80381448148348,-122.45788334858646,3.4600000000000004
37.80368,-122.45893000000001,3.45
37.80362,-122.45892,3.45
37.8035,-122.45978000000001,3.4800000000000004
37.8034,-122.46007000000002,3.56
37.80332000000001,-122.46020000000001,3.56
37.803070000000005,-122.46052000000002,3.69
37.80293,-122.46079,3.62
37.80288,-122.46097,3.69
37.80286,-122.46116,3.69
37.8029825149248,-122.46224499458961,3.4200000000000004
37.80310501989891,-122.46332999277868,3.5900000000000003
37.80322751492229,-122.46441499456694,3.52
37.80335,-122.4655,3.4800000000000004
37.803490003530655,-122.4664149982148,3.75
37.803630000000005,-122.46733,4.48
37.80369,-122.46745000000001,4.540000000000001
37.803790000000006,-122.46755000000002,4.38
37.804100000000005,-122.46785000000001,4.2700000000000005
37.80443,-122.4681,4.140000000000001
37.80481,-122.46833000000001,3.96
37.805420000000005,-122.46860000000001,3.87
37.806180000000005,-122.46882000000001,4.050000000000001
37.806290000000004,-122.46887000000001,4.090000000000001
37.80632000000001,-122.46875000000001,3.9000000000000004
37.806740000000005,-122.46891000000001,3.8100000000000005
37.80707,-122.46909000000001,3.8100000000000005
37.807390000000005,-122.46934000000002,3.8300000000000005
37.807680000000005,-122.46959000000001,3.72
37.80791,-122.46984,3.72
37.808130000000006,-122.47012000000001,3.6300000000000003
37.808370000000004,-122.47050000000002,3.68
37.8085,-122.47077000000002,3.8300000000000005
37.808640000000004,-122.47111000000001,3.94
37.80875,-122.47155000000001,4.390000000000001
37.80877,-122.4719,5.010000000000001
37.80874,-122.47196000000001,5.010000000000001
37.80881,-122.47221,5.17
37.808890000000005,-122.47265000000002,5.64
37.808960000000006,-122.47315,6.010000000000001
37.80899,-122.47354000000001,6.180000000000001
37.808980000000005,-122.47415000000001,6.410000000000001
37.80906,-122.47487000000001,6.48
37.80922,-122.47558000000001,6.430000000000001
37.80931,-122.47586000000001,6.36
37.809490000000004,-122.47616000000001,6.17
37.81004,-122.47643000000001,6.300000000000001
37.8102,-122.47643000000001,6.300000000000001
37.81051,-122.47656,6.12
37.810430000000004,-122.47673,6.29
37.810340000000004,-122.47674,6.36
37.81027,-122.47673,6.36
37.81004,-122.47643000000001,6.300000000000001
37.809490000000004,-122.47616000000001,6.17
37.80931,-122.47586000000001,6.36
37.80922,-122.47558000000001,6.430000000000001
37.80906,-122.47487000000001,6.48
37.808980000000005,-122.47415000000001,6.410000000000001
37.80899,-122.47354000000001,6.180000000000001
37.808960000000006,-122.47315,6.010000000000001
37.808890000000005,-122.47265000000002,5.53
37.80881,-122.47221,5.17
37.80874,-122.47196000000001,5.010000000000001
37.80861,-122.47168,5.25
37.80836,-122.47133000000001,5.2700000000000005
37.8081,-122.47118,6.970000000000001
37.80747,-122.47105,12.55
37.807300000000005,-122.471,13.430000000000001
37.80715,-122.47091,14.05
37.80693,-122.47070000000001,17.16
37.80669,-122.47038,18.55
37.80657,-122.47024,20.580000000000002
37.806430000000006,-122.47011,23.44
37.806270000000005,-122.47002,23.44
37.80613,-122.46997,24.580000000000002
37.806020000000004,-122.46994000000001,25.84
37.805960000000006,-122.46997,26.45
37.80595,-122.46998,26.45
37.8059,-122.47003000000001,27.32
37.80601,-122.47014000000001,27.48
37.80646,-122.47109,32.040000000000006
37.80657,-122.47128000000001,34.49
37.806700000000006,-122.47141,35.74
37.806940000000004,-122.47151000000001,36.800000000000004
37.807080000000006,-122.47163,37.38
37.807550000000006,-122.47232000000001,38.3
37.80776,-122.4727,37.470000000000006
37.80781,-122.47281000000001,37.28
37.80781,-122.47303000000001,37.46
37.807700000000004,-122.47333,38.43000000000001
37.80772,-122.47346000000002,39.07
37.807880000000004,-122.47378,40.190000000000005
37.80796,-122.474,41.56
37.808170000000004,-122.47476,43.410000000000004
37.80819,-122.47512,45.33
37.808220000000006,-122.47519000000001,46.510000000000005
37.80832,-122.4753,46.580000000000005
37.808420000000005,-122.47533000000001,46.580000000000005
37.80854,-122.47543000000002,46.470000000000006
37.808600000000006,-122.47553,46.48
37.80863,-122.47564000000001,46.53
37.80863,-122.4758,47.18000000000001
37.808600000000006,-122.47593,47.68000000000001
37.80841,-122.47625000000001,50.160000000000004
37.80839,-122.47624,50.160000000000004
37.808490000000006,-122.47597,51.29
37.808460000000004,-122.47588,52.22
37.80839,-122.47584,52.22
37.80834,-122.47585000000001,52.22
37.80829000000001,-122.47590000000001,53.65
37.80825,-122.47607,53.65
37.80821,-122.47615,55.71
37.8081,-122.47629,56.7
37.808060000000005,-122.47629,56.7
37.808170000000004,-122.47641000000002,56.95
37.808490000000006,-122.47673,58.550000000000004
37.808800000000005,-122.47696,59.42000000000001
37.809140000000006,-122.47714,61.00000000000001
37.809340000000006,-122.47719000000001,61.00000000000001
37.80955,-122.47723,62.64
37.8104300002093,-122.47733599494896,65.31
37.811310000323644,-122.47744199242449,68.57000000000001
37.812190000342994,-122.47754799242668,71.15
37.81307000026736,-122.47765399495569,72.92000000000002
37.813950000000006,-122.47776,77.02000000000001
37.813950000000006,-122.47772,77.27000000000001
37.813970000000005,-122.47768,77.47000000000001
37.814040000000006,-122.47768,77.58000000000001
37.8141,-122.47772,77.55000000000001
37.8141,-122.47777,77.55000000000001
37.81493250012259,-122.4778649967871,77.31
37.815765000168874,-122.47795999571665,79.10000000000001
37.81659750013886,-122.47805499678886,80.44000000000001
37.81743,-122.47815000000001,81.24000000000001
37.81831777816594,-122.47825665640376,81.82000000000001
37.81920555623571,-122.47836331537297,82.0
37.820093334209304,-122.47846997690786,82.03
37.820981112086706,-122.4785766410085,81.71000000000001
37.821868889867936,-122.4786833076751,80.99000000000001
37.82275666755297,-122.47878997690778,80.03999999999999
37.82364444514182,-122.47889664870668,79.08000000000001
37.824532222634446,-122.47900332307196,77.36000000000001
37.82542,-122.47911,77.16000000000001
37.825430000000004,-122.47906,77.16000000000001
37.82547,-122.47902,77.22000000000001
37.825520000000004,-122.47902,77.21
37.825570000000006,-122.47906,77.02000000000001
37.82558,-122.47910000000002,77.02000000000001
37.8263900002058,-122.4791983279367,73.15
37.827200000329846,-122.47929665803194,70.89
37.82801000037215,-122.47939499028588,69.08
37.82882000033272,-122.47949332469865,66.26
37.82963000021151,-122.47959166127035,66.87
37.83044,-122.47969,69.38000000000001
37.830870000000004,-122.47977000000002,70.57000000000001
37.83128,-122.47988000000001,71.60000000000001
37.83166000000001,-122.48009,72.89000000000001
37.83205,-122.48036,73.99
37.83234,-122.48061000000001,75.12
37.832390000000004,-122.48067,75.29
37.83245,-122.48068,75.29
37.83256,-122.48081,76.04
37.83268,-122.48075000000001,76.37
37.83269000000001,-122.48063,76.78
37.83241,-122.48,77.00000000000001
37.8324,-122.47990000000001,77.00000000000001
37.8324,-122.47991,77.00000000000001
37.832440000000005,-122.47978,77.00000000000001
37.83252,-122.47967000000001,76.93
37.83258,-122.47964,76.93
37.83268,-122.47964,76.87
37.83279,-122.47973,76.87
37.8329,-122.47991,76.85
37.83306,-122.48025000000001,76.78
37.83325,-122.4809,77.09
37.83332,-122.48088000000001,77.12
37.83335,-122.48109000000001,76.96
37.83334,-122.48144,77.09
37.83326,-122.48157,77.35
37.83323,-122.48167000000001,77.35
37.83326,-122.48188,77.24
37.8333,-122.48202,77.2
37.83361,-122.4826,77.91000000000001
37.834,-122.48318,79.56
37.8342,-122.4834,79.92
37.8344,-122.48358,81.37
37.834680000000006,-122.48376,83.65
37.83494,-122.48385,84.24000000000001
37.83516,-122.4839,85.04
37.83556,-122.48385,85.23
37.83585,-122.48372,84.03
37.835890000000006,-122.48375000000001,83.64
37.836670000000005,-122.48323,77.85
37.836890000000004,-122.48309,75.62
37.83708,-122.48305,73.87
37.83731,-122.48301000000001,72.53000000000002
37.83769,-122.48303000000001,69.55
37.83829,-122.48309,65.55000000000001
37.838480000000004,-122.48306000000001,64.24000000000001
37.838730000000005,-122.48301000000001,62.470000000000006
37.83892,-122.48295000000002,60.84
37.83906,-122.48287,60.84
37.83906,-122.48286000000002,59.61
37.83939,-122.48255,56.61000000000001
37.839490000000005,-122.48242,55.96
37.83966,-122.48215,55.38
37.839800000000004,-122.48179,55.650000000000006
37.839850000000006,-122.48161,55.99
37.8399,-122.48125000000002,57.510000000000005
37.8399,-122.48085,58.88
37.839870002843135,-122.48002999967733,61.38
37.83984,-122.47921000000001,63.83000000000001
37.83988,-122.47893,64.44000000000001
37.83995,-122.47862,64.87
37.840070000000004,-122.47835,64.5
37.84019,-122.47817,63.83000000000001
37.84035,-122.47798000000002,62.910000000000004
37.84048000000001,-122.47785,61.78000000000001
37.84062,-122.47776,60.190000000000005
37.840810000000005,-122.47767,60.190000000000005
37.841,-122.47762000000002,56.17
37.841260000000005,-122.47759,56.17
37.841530000000006,-122.47764000000001,54.63
37.84213500040236,-122.47792999764356,49.09
37.842740000000006,-122.47822000000001,46.36000000000001
37.84308,-122.47831000000001,43.56
37.843450000000004,-122.4783,41.7
37.84403500019484,-122.47810000157769,36.87
37.844620000000006,-122.4779,35.24
37.84458,-122.47777,35.27
37.84451,-122.47776,35.25
37.84411,-122.4779,34.99
37.84386000000001,-122.47795,35.03000000000001
37.84331,-122.47804000000001,35.120000000000005
37.8432,-122.47804000000001,35.04
37.843090000000004,-122.47802000000001,35.04
37.84238500075373,-122.47762999633323,34.93
37.841680000000004,-122.47724000000001,36.18
37.84154,-122.47714,36.480000000000004
37.841460000000005,-122.47705,37.2
37.8414,-122.47696,37.50000000000001
37.84116,-122.47642,38.77
37.841060000000006,-122.47629,39.03
37.84093,-122.47615,39.580000000000005
37.840740000000004,-122.47598,40.040000000000006
37.84030000043897,-122.47572999860795,40.120000000000005
37.83986,-122.47548,39.64
37.83914,-122.47499,36.79
37.83852,-122.47428000000001,35.78000000000001
37.83813,-122.47406000000001,34.940000000000005
37.83796,-122.47391,34.39
37.837810000000005,-122.47373,33.760000000000005
37.837630000000004,-122.47342,33.36
37.83747,-122.47323000000002,33.1
37.837210000000006,-122.47310000000002,32.81
37.837030000000006,-122.47307,32.370000000000005
37.836870000000005,-122.47307,31.96
37.83673,-122.47311,31.040000000000003
37.836560000000006,-122.47324,30.21
37.836330000000004,-122.47346000000002,27.35
37.83621,-122.47356,26.6
37.836090000000006,-122.47374,25.25
37.83603,-122.47387,23.07
37.836000000000006,-122.47399000000001,23.07
37.835973341957896,-122.47500000075281,16.96
37.83594667529061,-122.47601000077553,12.59
37.83592,-122.47702000000001,6.36
37.835910000000005,-122.47719000000001,6.0200000000000005
37.83581,-122.47735000000002,5.64
37.835660000000004,-122.47746000000001,5.25
37.83512000090743,-122.4777966716271,5.0200000000000005
37.8345800008565,-122.47813333832546,4.9
37.83404,-122.47847000000002,5.0600000000000005
37.8339,-122.47857,5.12
37.833470000000005,-122.47828000000001,5.23
37.83276,-122.47825000000002,5.580000000000001
37.832640000000005,-122.47822000000001,5.580000000000001
37.83229,-122.47795,5.94
37.831970000000005,-122.47786,5.960000000000001
37.83184,-122.47789000000002,6.16
37.83175,-122.47794,6.16
37.83146,-122.47844,6.9
37.83135,-122.4787,7.19
37.831050000000005,-122.47915,10.620000000000001
37.830690000000004,-122.47955,14.17
37.830420000000004,-122.47979000000001,16.46
37.83034,-122.47991,19.19
37.830290000000005,-122.48005,21.470000000000002
37.8303,-122.48018,21.5
37.830400000000004,-122.48036,22.28
37.830650000000006,-122.4804,23.73
37.83071,-122.48045,26.45
37.83077,-122.48054,26.45
37.83084,-122.48072,28.180000000000003
37.83091,-122.48080000000002,28.180000000000003
37.831070000000004,-122.48081,31.040000000000003
37.8314,-122.48072,35.620000000000005
37.83155,-122.48073000000001,35.620000000000005
37.83165,-122.48091000000001,37.17
37.831680000000006,-122.48108,40.440000000000005
37.83167,-122.48117,40.440000000000005
37.831590000000006,-122.4813,42.5
37.83146,-122.48140000000001,42.5
37.831300000000006,-122.48148,45.87
37.83111,-122.48156000000002,47.59
37.830980000000004,-122.48157,48.6
37.83079,-122.48152,49.830000000000005
37.83053,-122.48138000000002,50.980000000000004
37.83041,-122.48134,51.410000000000004
37.830270000000006,-122.48134,52.27
37.830200000000005,-122.48139,52.97
37.83014,-122.48157,53.470000000000006
37.83016000000001,-122.48174000000002,54.64
37.830220000000004,-122.48184,55.39
37.83037,-122.48197,55.96
37.830890000000004,-122.48211,60.59
37.83158,-122.48234000000001,67.06
37.831900000000005,-122.48233,68.39
37.83229,-122.48227000000001,72.69
37.832460000000005,-122.4818,73.97000000000001
37.83245,-122.4818,74.81
37.832440000000005,-122.48166,74.84
37.83247,-122.48157,74.83000000000001
37.83247,-122.48139,74.73
37.832420000000006,-122.48120000000002,74.63
37.83225,-122.48095,74.58000000000001
37.832010000000004,-122.48072,73.28000000000002
37.83169,-122.48045,72.81
37.83144,-122.48027,72.07000000000001
37.83108,-122.48010000000001,70.87
37.830580000000005,-122.47997000000001,70.12
37.82974500020613,-122.47987166110306,68.36
37.82891000033048,-122.47977332443182,67.57000000000001
37.82807500037308,-122.47967498998611,69.75
